Feature,Random Forest,XGBoost,LightGBM
hour_sin,0.00030541232711101115,0.0018077528,838
hour_cos,0.0025266519426211513,0.0029165822,764
month_sin,2.5373347394952227e-05,0.00026195752,75
month_cos,2.5343971930197936e-05,0.00023802905,75
weekday,2.0849409600587944e-05,0.0003449363,71
weekend,1.5996834535208043e-06,9.251211e-05,2
is_peak_hour,3.624251188732789e-06,0.00038732443,23
is_day,1.9411401856668907e-05,0.008300703,56
temp,9.153416430182348e-05,0.00043589782,260
dwpt,6.546880356629124e-05,0.0001984846,96
rhum,4.1495094877782485e-05,0.00020194713,105
wspd,3.191835150491631e-05,0.00010947314,117
pres,7.939374303839449e-05,0.0002631114,205
wdir_sin,3.5020524671862245e-05,0.0003011087,50
wdir_cos,2.996732181085258e-05,0.00016281876,41
temp_hour,0.0008420427253283405,0.0019700925,495
temp_x_peak,1.284334435370048e-05,9.602643e-05,63
lag_12,0.006318999208865273,0.005361073,1055
lag_288,0.00044738154527224923,0.0009857232,276
lag_2016,9.288156797930726e-05,0.00021679762,170
roll_mean_12,0.7959915791750082,0.5652315,864
roll_std_12,0.0005140512190795051,0.0021980177,1055
roll_max_12,0.1691865540757801,0.19004019,1133
roll_min_12,0.023290602799404675,0.217878,1111
