Model,MAE,RMSE,R²,MAPE (%)
Linear Regression,37.106,87.702,0.996,0.87
Random Forest,43.335,107.974,0.994,0.951
Decision Tree,56.911,123.015,0.992,1.277
Gradient Boosting,57.676,123.072,0.992,1.275
LightGBM (Tuned),53.077,131.433,0.991,1.097
LightGBM,57.768,131.813,0.991,1.222
Ensemble (XGB+LGBM),55.516,144.873,0.989,1.123
XGBoost,59.694,157.473,0.987,1.221
XGBoost (Tuned),61.177,173.562,0.985,1.213
KNN,274.47,372.221,0.929,6.39
LSTM,311.896,383.865,0.925,6.354
Naive Baseline,598.427,903.007,0.583,15.19
