Trial,MAE,Running_Min
1,47.775367694786524,47.775367694786524
2,46.78865756991181,46.78865756991181
3,144.49364691342691,46.78865756991181
4,70.00972160954954,46.78865756991181
5,46.48641393167173,46.48641393167173
6,41.23671067110755,41.23671067110755
7,49.39765973157444,41.23671067110755
8,42.032402865024835,41.23671067110755
9,39.57844460576161,39.57844460576161
10,365.7097196289632,39.57844460576161
11,39.39311579116599,39.39311579116599
12,39.616242623864096,39.39311579116599
13,38.57118878736907,38.57118878736907
14,39.09049336535701,38.57118878736907
15,38.47755406144753,38.47755406144753
16,37.760824561461625,37.760824561461625
17,37.159378317288116,37.159378317288116
18,37.17962900148946,37.159378317288116
19,37.695438591868346,37.159378317288116
20,176.11113883985445,37.159378317288116
21,42.754569711298,37.159378317288116
22,37.62605640139024,37.159378317288116
23,37.47784651944713,37.159378317288116
24,38.05922268318557,37.159378317288116
25,37.19248490483154,37.159378317288116
26,37.75814185048083,37.159378317288116
27,37.55030129145945,37.159378317288116
28,177.8923547422602,37.159378317288116
29,37.808125327128785,37.159378317288116
30,37.795149256608134,37.159378317288116
31,37.82034471132885,37.159378317288116
32,37.47998392086786,37.159378317288116
33,37.611220491436576,37.159378317288116
34,39.578783479839466,37.159378317288116
35,107.2242740125307,37.159378317288116
36,37.41848521747148,37.159378317288116
37,37.623589173432435,37.159378317288116
38,38.1956750168747,37.159378317288116
39,154.343108374976,37.159378317288116
40,48.16791174461934,37.159378317288116
41,38.0445860330503,37.159378317288116
42,37.76141013046881,37.159378317288116
43,39.63043191602924,37.159378317288116
44,37.21175564990143,37.159378317288116
45,40.53131211418124,37.159378317288116
46,37.38865514552904,37.159378317288116
47,37.58295120512338,37.159378317288116
48,37.35843343422487,37.159378317288116
49,37.16792128059928,37.159378317288116
50,37.970476936536045,37.159378317288116
